"","TREATMENT","M_SNC_MST_RCNT_ACT_OPN","TOT_HI_CRDT_CRDT_LMT","RATIO_BAL_TO_HI_CRDT","AGRGT_BAL_ALL_XCLD_MRTG","N_OF_SATISFY_FNC_REV_ACTS","AVG_BAL_ALL_FNC_REV_ACTS","N_BANK_INSTLACTS","M_SNCOLDST_BNKINSTL_ACTOPN","N_FNC_INSTLACTS","N_SATISFY_INSTL_ACTS","M_SNC_MSTREC_INSTL_TRD_OPN","TOT_INSTL_HI_CRDT_CRDT_LMT","M_SNC_OLDST_MRTG_ACT_OPN","M_SNC_MSTRCNT_MRTG_ACT_UPD","M_SNC_MST_RCNT_MRTG_DEAL","N30D_ORWRS_RTNG_MRTG_ACTS","N_OF_MRTG_ACTS_DLINQ_24M","N_SATISFY_PRSNL_FNC_ACTS","RATIO_PRSNL_FNC_BAL2HICRDT","TOT_OTHRFIN_HICRDT_CRDTLMT","N_SATISFY_OIL_NATIONL_ACTS","M_SNCOLDST_OIL_NTN_TRD_OPN","N_BC_ACTS_OPN_IN_12M","N_BC_ACTS_OPN_IN_24M","AVG_BAL_ALL_PRM_BC_ACTS","N_RETAIL_ACTS_OPN_IN_24M","M_SNC_OLDST_RETAIL_ACT_OPN","RATIO_RETAIL_BAL2HI_CRDT","TOT_BAL_ALL_DPT_STORE_ACTS","N_30D_RATINGS","N_120D_RATINGS","N_30D_AND_60D_RATINGS","N_ACTS_WITH_MXD_3_IN_24M","N_ACTS_WITH_MXD_4_IN_24M","PRCNT_OF_ACTS_NEVER_DLQNT","N_ACTS_90D_PLS_LTE_IN_6M","TOT_NOW_LTE","N_DEROG_PUB_RECS","N_INQUIRIES","N_FNC_ACTS_VRFY_IN_12M","N_OPEN_REV_ACTS","N_FNC_ACTS_OPN_IN_12M","HI_RETAIL_CRDT_LMT","N_PUB_REC_ACT_LINE_DEROGS","M_SNC_MST_RCNT_60_DAY_RTNG","N_DISPUTED_ACTS","AUTO_HI_CRDT_2_ACTUAL","MRTG_1_MONTHLY_PAYMENT","MRTG_2_CURRENT_BAL","PREM_BANKCARD_CRED_LMT","STUDENT_HI_CRED_RANGE","AUTO_2_OPEN_DATE_YRS","MAX_MRTG_CLOSE_DATE","UPSCALE_OPEN_DATE_YRS","STUDENT_OPEN_DATE_YRS","FNC_CARD_OPEN_DATE_YRS","AGE","D_DEPTCARD","D_REGION_A","D_REGION_B","D_REGION_C","D_NA_M_SNC_MST_RCNT_ACT_OPN","D_NA_AVG_BAL_ALL_FNC_REV_ACTS","D_NA_M_SNCOLDST_BNKINSTL_ACTOPN","D_NA_M_SNC_OLDST_MRTG_ACT_OPN","D_NA_M_SNC_MST_RCNT_MRTG_DEAL","D_NA_RATIO_PRSNL_FNC_BAL2HICRDT","PURCHASE","UNIQUE_ID"
"59753",0,7,173099,1.9,3276,2,80,0,99.7895825049702,0,0,41.7901907356948,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,4,9,0,1,242,2.1,301,0,0,0,0,0,100,0,0,0,7,2,43,1,4000,0,21.1226750686045,0,0,0,0,10000,0,2.33854038383041,3.16229464726075,-0.0438356164383562,2.47417142158413,1.28373307817375,88,1,0,0,1,0,0,1,1,1,1,0,11
"23514",0,3,286067,40.6,59073,2,1954,0,99.7895825049702,6,2,18,65967,169,0,58,1,0,4,39.2,0,1,75,0,0,4087,0,83,0,0,8,0,8,0,0,86.4,0,0,0,1,4,12,1,5300,4,21.1226750686045,0,24166,1441,0,14000,0,2.03835616438356,1.87123287671233,7.48136906265982,2.47417142158413,1.53424657534247,34,0,1,0,0,0,0,1,0,0,0,1,12
"40051",0,5,181780,1.2,1314,3,0,2,113,0,0,36,0,111,1,25.8628775834658,0,0,1,51.7304117647059,3400,0,186.509424603175,1,5,81,1,224,3,701,0,0,0,0,0,96.9,0,0,0,4,3,23,0,14500,0,21.1226750686045,0,0,0,0,0,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,34,0,0,0,0,0,0,0,0,1,1,1,13
"50104",0,70,26000,0,0,0,1767.19720263553,0,99.7895825049702,0,0,41.7901907356948,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,0,0,0,0,164.238899803536,11.4912303766143,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,21.1226750686045,0,0,0,0,0,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,56,0,0,0,1,0,1,1,1,1,1,0,14
"25263",1,29.8833914790147,0,36.0950602704023,0,0,1767.19720263553,0,99.7895825049702,0,0,41.7901907356948,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,0,0,2494.41434114311,0,164.238899803536,11.4912303766143,0,0,0,0,0,0,80.8148682071938,0,0,0,4,0,0,0,0,2,21.1226750686045,0,0,0,0,0,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,68,0,1,0,0,1,1,1,1,1,1,0,15
"78940",1,5,363800,9.8,29681,3,0,0,99.7895825049702,2,0,52,0,177,1,60,0,0,1,0,165900,0,186.509424603175,1,2,1941,0,364,0,0,4,0,5,0,0,74.2,0,0,0,1,3,18,0,400,0,41,0,0,1329,0,16700,0,2.33854038383041,4.37260273972603,7.48136906265982,2.47417142158413,1.28373307817375,71,1,0,1,0,0,0,1,0,0,0,0,16
"19464",0,12,277,100,277,0,1767.19720263553,0,99.7895825049702,0,0,41.7901907356948,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,100,0,0,186.509424603175,0,0,2494.41434114311,0,164.238899803536,11.4912303766143,0,0,0,0,0,0,0,1,277,0,0,1,0,1,0,1,1,0,0,0,0,0,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,59,0,0,0,0,0,1,1,1,1,0,0,17
"68609",0,12,166,100,166,0,1767.19720263553,0,99.7895825049702,0,0,41.7901907356948,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,100,0,0,186.509424603175,0,0,2494.41434114311,0,164.238899803536,11.4912303766143,0,0,0,0,0,0,0,1,166,0,0,1,0,1,0,1,1,0,0,0,0,0,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,24,0,0,0,1,0,1,1,1,1,0,0,18
"66251",1,64,3765,100,3765,0,1767.19720263553,0,99.7895825049702,0,0,41.7901907356948,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,0,0,2494.41434114311,0,164.238899803536,11.4912303766143,0,0,43,0,0,0,0,1,3615,0,2,0,0,0,0,2,2,0,0,0,0,0,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,73,0,1,0,0,0,1,1,1,1,1,0,19
"77896",0,26,12000,1,117,0,1767.19720263553,0,99.7895825049702,0,0,41.7901907356948,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,0,0,2494.41434114311,0,164.238899803536,11.4912303766143,0,0,0,0,0,0,100,0,0,0,0,0,2,0,0,0,21.1226750686045,0,0,0,0,0,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,57,0,0,1,0,0,1,1,1,1,1,0,20
"96341",0,39,39000,0,0,0,1767.19720263553,0,99.7895825049702,0,0,41.7901907356948,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,0,0,0,0,387,0,0,0,0,0,0,0,100,0,0,0,0,0,4,0,5000,0,21.1226750686045,0,0,0,0,10000,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,23,1,0,0,0,0,1,1,1,1,1,1,21
"81111",0,3,338800,38.2,73026,1,1767.19720263553,0,99.7895825049702,1,0,54,0,35,0,25.8628775834658,0,0,0,51.7304117647059,228500,1,246,0,0,9002,0,78,16.7,835,0,0,0,0,0,100,0,0,0,0,1,16,0,5000,0,21.1226750686045,0,0,386,219450,15600,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,86,1,1,0,0,0,1,1,0,1,1,0,22
"83304",0,11,0,36.0950602704023,0,0,1767.19720263553,0,99.7895825049702,1,0,11,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,0,0,2494.41434114311,0,164.238899803536,11.4912303766143,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4,7,0,0,0,0,0,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,52,0,0,0,0,0,1,1,1,1,1,0,23
"49533",1,6,27552,26.1,7183,1,76,4,111,2,1,38,17152,131,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,3000,0,186.509424603175,1,1,2494.41434114311,0,348,0,0,0,0,0,0,0,92.3,0,0,0,1,1,2,0,7400,0,21.1226750686045,0,0,0,0,0,0,2.33854038383041,3.20387753574369,7.48136906265982,2.47417142158413,1.28373307817375,57,1,0,0,0,0,0,0,0,1,1,1,24
"45656",1,16,303837,23.7,27999,0,1767.19720263553,0,99.7895825049702,0,0,41.7901907356948,0,19,0,25.8628775834658,0,0,0,51.7304117647059,147000,0,186.509424603175,0,2,4667,0,138,11.4912303766143,0,0,0,0,0,0,100,0,0,0,6,1,6,0,0,0,21.1226750686045,1,0,766,0,35000,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,100,0,1,0,0,0,1,1,0,1,1,1,25
"67271",0,29.8833914790147,0,36.0950602704023,0,0,1767.19720263553,0,99.7895825049702,0,0,41.7901907356948,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,0,0,2494.41434114311,0,164.238899803536,11.4912303766143,0,0,0,0,0,0,80.8148682071938,0,0,0,1,0,0,0,0,1,21.1226750686045,0,0,0,0,0,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,41,0,0,0,1,1,1,1,1,1,1,0,26
"275",1,24,222753,10.4,4948,1,1767.19720263553,0,99.7895825049702,1,0,46,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,0,1,1649,0,565,0,0,0,0,0,0,0,100,0,0,0,0,0,6,0,3000,0,21.1226750686045,0,0,0,0,12000,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,52,0,1,0,0,0,1,1,1,1,1,0,27
"70672",1,6,618077,31.9,29443,0,1767.19720263553,5,153,0,0,94,0,104,1,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,2,2,5346,0,164.238899803536,11.4912303766143,0,0,0,0,0,0,100,0,0,0,2,0,8,0,0,0,21.1226750686045,3,0,3149,0,18000,0,2.33854038383041,1.20547945205479,7.48136906265982,2.47417142158413,1.28373307817375,33,0,1,0,0,0,1,0,0,1,1,0,28
"58207",1,75,400,0,0,0,1767.19720263553,0,99.7895825049702,0,0,41.7901907356948,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,0,0,2494.41434114311,0,75,0,0,0,0,0,0,0,100,0,0,0,0,0,1,0,400,0,21.1226750686045,0,0,0,0,0,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,39,1,0,0,0,0,1,1,1,1,1,0,29
"35794",1,12,22059,77.4,17072,0,1767.19720263553,0,99.7895825049702,5,1,13,21559,36,0.664687749743121,14,10,8,1,77.9,0,0,186.509424603175,1,1,2494.41434114311,0,40,11.4912303766143,0,12,1,16,2,0,42.9,1,722,0,27,3,1,0,0,5,1,0,0,1703,0,0,0,2.33854038383041,2.70684931506849,7.48136906265982,2.47417142158413,2.45753424657534,44,0,1,0,0,0,1,1,0,0,0,0,30
"55979",1,21,4000,41,1642,0,1767.19720263553,0,99.7895825049702,2,0,87,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,0,1,2494.41434114311,0,164.238899803536,11.4912303766143,0,1,0,1,0,0,50,0,0,1,5,0,1,0,0,9,55,0,0,0,0,0,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,62,0,1,0,0,0,1,1,1,1,1,0,31
"67179",1,29.8833914790147,0,36.0950602704023,0,0,1767.19720263553,0,99.7895825049702,0,0,41.7901907356948,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,0,0,2494.41434114311,0,164.238899803536,11.4912303766143,0,0,0,0,0,0,80.8148682071938,0,0,0,0,0,0,0,0,1,21.1226750686045,0,0,0,0,0,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,53,0,0,0,1,1,1,1,1,1,1,0,32
"84428",0,55,53300,0.5,283,0,1767.19720263553,0,99.7895825049702,0,0,41.7901907356948,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,0,0,71,0,164.238899803536,11.4912303766143,0,0,0,0,0,0,100,0,0,0,0,0,4,0,0,0,21.1226750686045,0,0,0,0,20000,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,64,0,0,0,0,0,1,1,1,1,1,0,33
"83742",1,14,25835,80.2,20720,0,1767.19720263553,1,86,2,1,14,25835,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,25835,1,85,0,0,2494.41434114311,0,99,11.4912303766143,0,1,0,1,0,0,46.7,0,0,1,16,1,0,0,0,14,36,0,0,1861,0,0,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,63,0,1,0,0,0,1,0,1,1,1,0,34
"1583",1,3,173544,77.8,24530,0,1767.19720263553,0,99.7895825049702,2,2,6,30020,6,0,25.8628775834658,0,0,2,77.8,0,0,186.509424603175,2,3,2494.41434114311,0,164.238899803536,11.4912303766143,0,0,0,0,0,0,100,0,0,0,10,2,3,1,0,0,21.1226750686045,0,18779,1179,0,0,0,-0.791780821917808,-0.791780821917808,7.48136906265982,2.47417142158413,-0.791780821917808,45,0,0,0,0,0,1,1,0,1,0,0,35
"43694",1,41,132500,0.6,143,0,1767.19720263553,1,99,1,0,83,0,113,1,25.8628775834658,0,0,0,51.7304117647059,110000,0,186.509424603175,0,0,0,0,393,2.9,143,0,0,0,0,0,100,0,0,0,0,1,4,0,3000,0,21.1226750686045,0,0,1248,0,0,0,2.33854038383041,3.54246575342466,32.7945205479452,2.47417142158413,1.28373307817375,46,1,0,0,1,0,1,0,0,1,1,1,36
"15754",1,86,0,36.0950602704023,0,0,1767.19720263553,0,99.7895825049702,1,0,86,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,0,0,2494.41434114311,0,164.238899803536,11.4912303766143,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.1226750686045,0,0,0,0,0,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,35,0,0,0,1,0,1,1,1,1,1,0,37
"34361",0,109,0,36.0950602704023,0,0,1767.19720263553,0,99.7895825049702,0,0,41.7901907356948,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,0,0,2494.41434114311,0,164.238899803536,11.4912303766143,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,6,60,0,0,0,0,0,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,44,0,0,0,0,0,1,1,1,1,1,0,38
"21144",1,6,188134,50.9,22447,0,1767.19720263553,1,32,3,1,9,18723,74,0,25.8628775834658,0,0,0,51.7304117647059,162723,0,186.509424603175,2,2,0,1,91,19.7,452,0,0,0,0,0,94.1,0,0,0,2,2,6,1,1300,0,21.1226750686045,0,14875,0,0,13500,0,2.70387753574369,-0.544756344037727,2.78584474885845,2.47417142158413,1.28373307817375,28,1,1,0,0,0,1,0,0,1,1,0,39
"22017",1,29.8833914790147,0,36.0950602704023,0,0,1767.19720263553,0,99.7895825049702,0,0,41.7901907356948,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,0,0,2494.41434114311,0,164.238899803536,11.4912303766143,0,0,0,0,0,0,80.8148682071938,0,0,0,2,0,0,0,0,0,21.1226750686045,0,0,0,0,0,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,68,0,0,0,1,1,1,1,1,1,1,0,40
"67729",1,409,200,0,0,0,1767.19720263553,0,99.7895825049702,0,0,41.7901907356948,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,0,0,2494.41434114311,0,164.238899803536,11.4912303766143,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,21.1226750686045,0,0,0,0,0,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,37,0,0,1,0,0,1,1,1,1,1,0,41
"76322",0,12,86400,1.6,1405,0,1767.19720263553,1,97,0,0,97,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,1,2,351,3,106,0,0,0,0,0,0,0,100,0,0,0,2,0,19,0,3100,0,21.1226750686045,0,0,0,0,17600,0,2.33854038383041,3.16229464726075,6.61917808219178,2.47417142158413,1.28373307817375,60,1,0,0,1,0,1,0,1,1,1,0,42
"87921",0,15,35698,44.3,15800,0,1767.19720263553,0,99.7895825049702,0,1,15,12698,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,0,0,1683,0,64,11.4912303766143,0,0,0,0,0,0,100,0,0,0,1,0,2,0,0,0,21.1226750686045,0,0,0,0,23000,0,2.33854038383041,3.16229464726075,0.0383561643835616,2.47417142158413,1.28373307817375,46,1,0,0,1,0,1,1,1,1,1,0,43
"74700",0,29.8833914790147,0,36.0950602704023,0,0,1767.19720263553,0,99.7895825049702,0,0,41.7901907356948,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,0,0,2494.41434114311,0,164.238899803536,11.4912303766143,0,0,0,0,0,0,80.8148682071938,0,0,0,0,0,0,0,0,0,21.1226750686045,0,0,0,0,0,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,41,0,0,0,0,1,1,1,1,1,1,0,44
"27463",0,9,20795,80.4,16721,0,1767.19720263553,0,99.7895825049702,0,0,41.7901907356948,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,1,3,3373,0,164.238899803536,11.4912303766143,0,4,0,7,1,0,62.5,0,0,0,2,0,5,0,0,0,2,0,0,0,0,0,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,89,1,0,0,0,0,1,1,1,1,1,0,45
"99724",1,6,55834,37.7,21068,0,1767.19720263553,2,154,0,0,118,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,0,2,6147,1,151,18.5,2324,0,0,0,0,0,100,0,0,0,2,0,10,0,6000,0,21.1226750686045,0,0,0,0,15000,0,2.33854038383041,3.16229464726075,2.53424657534247,2.47417142158413,1.28373307817375,72,1,0,0,0,0,1,0,1,1,1,1,46
"46324",1,8,74887,4,2971,2,42,1,66,1,0,29,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,1,0,2300,1,146,1,2,526,2,318,3.6,247,0,0,0,0,0,96.4,0,0,0,1,2,19,1,4000,0,21.1226750686045,0,0,0,0,10000,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,44,1,0,0,0,0,0,0,1,1,0,1,47
"63535",1,18,1100,0,0,0,1767.19720263553,0,99.7895825049702,0,0,41.7901907356948,0,138.96011816839,0.664687749743121,25.8628775834658,0,0,0,51.7304117647059,0,0,186.509424603175,0,1,2494.41434114311,0,164.238899803536,11.4912303766143,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,21.1226750686045,0,0,0,0,0,0,2.33854038383041,3.16229464726075,7.48136906265982,2.47417142158413,1.28373307817375,47,0,0,0,0,0,1,1,1,1,1,0,48
